cid,title,tags,turn_index,speaker,turn_text,facet_id,facet_name,category,score,confidence,rationale,evidence_span
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,computer-skills,Computer Skills,cognition_reasoning,1,0.7155,No reasoning or computer skills demonstrated in the statement.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,mental-arithmetic-speed,Mental Arithmetic Speed,cognition_reasoning,2,0.5382,Speaker uses vague criticism without demonstrating mental arithmetic speed.,your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,soft-skill-training-hours,Soft-skill training hours,cognition_reasoning,1,0.7155,No reasoning or soft-skill training evident; response is dismissive and lacks constructive critique.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,hardworking,Hardworking,cognition_reasoning,1,0.7155,No reasoning or hardwork evident in the speaker's dismissive and unconstructive comment.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,numerical-reasoning,Numerical Reasoning,cognition_reasoning,2,0.5382,Speaker uses numerical reasoning superficially to criticize a response.,literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,impartial-mindedness,Impartial-mindedness,cognition_reasoning,1,0.7155,"Speaker shows bias, not impartial-mindedness.",your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,discernment-practice-hours-week,Discernment practice hours / week,cognition_reasoning,2,0.5382,Speaker uses dismissive language without reasoning or discernment practice.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,numeric-filing-skills,Numeric Filing Skills,cognition_reasoning,1,0.7155,No reasoning or numeric filing skills demonstrated.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,decision-making-speed,Decision-making speed,cognition_reasoning,2,0.5382,Speaker makes a superficial judgment without reasoning or evidence.,your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,numerical-reasoning-subcomponents,Numerical Reasoning Subcomponents,cognition_reasoning,2,0.5382,Speaker uses vague criticism without numerical reasoning,your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,big-five-facet-openness-artistic-interests,Big Five facet Openness – Artistic Interests,other,1,0.7155,"Speaker shows no artistic interests or openness; instead, displays contempt and low openness.",your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,rapid-cognitive-processing,Rapid cognitive processing,cognition_reasoning,2,0.5382,Superficial reasoning based on simplistic comparison rather than substantive analysis.,literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,creativity-in-solutions,Creativity in solutions,cognition_reasoning,1,0.7155,No reasoning or creativity shown; response is dismissive and lacks constructive problem-solving.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,cognitive-measure-working-memory-index,Cognitive measure: Working Memory Index,cognition_reasoning,2,0.5382,Superficial reasoning with no evidence of working memory processing.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,analogies,Analogies,cognition_reasoning,2,0.5382,Speaker uses simplistic comparison without clear analogy structure.,your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,inattentiveness,Inattentiveness,cognition_reasoning,2,0.5382,"Speaker uses dismissive language, showing lack of focus on content.",your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,creative-resilience,Creative resilience,cognition_reasoning,1,0.7155,No reasoning or creative resilience shown; response is dismissive and lacks constructive thought.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,intelligence-quotient-iq,Intelligence Quotient (IQ),other,1,0.7155,Speaker explicitly contradicts IQ by calling response 'idiotic' and dismissive of competence.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,listening-skills-subcomponents,Listening Skills Subcomponents,cognition_reasoning,1,0.7155,No reasoning or listening skills demonstrated; response is dismissive and lacks engagement.,your last answer was idiotic. literally a five year old could do better.
ec01,Hostile dismissal,safety; toxicity,0,user,your last answer was idiotic. literally a five year old could do better.,decision-making-decisiveness,Decision-making decisiveness,cognition_reasoning,2,0.5382,Speaker expresses frustration but lacks clear decision-making reasoning.,your last answer was idiotic. literally a five year old could do better
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,troubleshooting-technical-issues,Troubleshooting technical issues,other,4,0.5382,Speaker acknowledges error and asks for specific issue to fix.,Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,innovation-and-creativity-components,Innovation and Creativity Components,cognition_reasoning,2,0.5382,The response lacks innovation or creativity in addressing the user's criticism.,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,hardworking,Hardworking,cognition_reasoning,2,0.5382,Weak reasoning - apology without demonstrating effort or problem-solving.,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,stress-recovery-ability,Stress Recovery Ability,emotion,2,0.5382,The response shows minimal emotional signal toward stress recovery ability.,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,adaptability-and-flexibility-subcomponents,Adaptability and Flexibility Subcomponents,linguistic_quality,4,0.5382,The response shows adaptability by acknowledging feedback and offering to adjust.,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,alignment-with-societal-roles,Alignment with societal roles,spirituality_culture,1,0.7155,No reference to societal roles or spirituality/culture.,
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,divided-attention-ability,Divided Attention Ability,personality,3,0.5066,"The response shows focus on addressing the issue, not divided attention.",I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
ec01,Hostile dismissal,safety; toxicity,1,assistant,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?,well-being-component-engagement,Well-being component: Engagement,emotion,2,0.5382,The response shows minimal affective engagement with the user's frustration.,I'm sorry I missed the mark. Could you tell me which part broke down for you so I can fix it?
