facet_id,name,category,score_direction,applicable_speaker,description,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5,keywords
risktaking,Risktaking,personality,positive,both,"'Risktaking' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'risktaking'.",The turn shows no evidence of risktaking; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of risktaking; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays risktaking, though not in an extreme form.","The turn is a textbook exemplar of risktaking; pronounced, unambiguous, and central to the message.",risktaking
naivety,Naivety,personality,positive,both,"'Naivety' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'naivety'.",The turn shows no evidence of naivety; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of naivety; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays naivety, though not in an extreme form.","The turn is a textbook exemplar of naivety; pronounced, unambiguous, and central to the message.",naivety
acidity,Acidity,clinical_health,positive,both,"'Acidity' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'acidity'.",No clinical signal related to acidity.,Faint or indirect signal of acidity.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of acidity; clinically notable.,"Unambiguous, severe, or quantified expression of acidity.",acidity
democratic-leadership,Democratic Leadership,personality,positive,assistant,"'Democratic Leadership' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'democratic leadership'.",The turn shows no evidence of democratic leadership; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of democratic leadership; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays democratic leadership, though not in an extreme form.","The turn is a textbook exemplar of democratic leadership; pronounced, unambiguous, and central to the message.","democratic, leadership"
common-sense,Common-sense,emotion,positive,both,"'Common-sense' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'common-sense'.",The turn expresses the opposite of common-sense (e.g. cold where common-sense is warm).,Little affective signal toward common-sense.,Affect is neutral or unrelated to common-sense.,"Clear emotional expression aligned with common-sense, but controlled.",Highly expressive of common-sense; the affect dominates the turn.,"common, sense"
hesitation,Hesitation,pragmatics,positive,both,"'Hesitation' is a pragmatics facet. Definition context: Communicative intent and discourse moves: politeness, directness, irony, hedging, turn-taking, repair, presupposition. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'hesitation'.",The turn shows no evidence of hesitation; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of hesitation; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays hesitation, though not in an extreme form.","The turn is a textbook exemplar of hesitation; pronounced, unambiguous, and central to the message.",hesitation
discontentment,Discontentment,emotion,positive,user,"'Discontentment' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'discontentment'.",The turn expresses the opposite of discontentment (e.g. cold where discontentment is warm).,Little affective signal toward discontentment.,Affect is neutral or unrelated to discontentment.,"Clear emotional expression aligned with discontentment, but controlled.",Highly expressive of discontentment; the affect dominates the turn.,discontentment
overprotectiveness,Overprotectiveness,relational,positive,both,"'Overprotectiveness' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'overprotectiveness'.",The turn shows no evidence of overprotectiveness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of overprotectiveness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays overprotectiveness, though not in an extreme form.","The turn is a textbook exemplar of overprotectiveness; pronounced, unambiguous, and central to the message.",overprotectiveness
merriness,Merriness,emotion,positive,user,"'Merriness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'merriness'.",The turn expresses the opposite of merriness (e.g. cold where merriness is warm).,Little affective signal toward merriness.,Affect is neutral or unrelated to merriness.,"Clear emotional expression aligned with merriness, but controlled.",Highly expressive of merriness; the affect dominates the turn.,merriness
emotionalism,Emotionalism,emotion,positive,both,"'Emotionalism' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'emotionalism'.",The turn expresses the opposite of emotionalism (e.g. cold where emotionalism is warm).,Little affective signal toward emotionalism.,Affect is neutral or unrelated to emotionalism.,"Clear emotional expression aligned with emotionalism, but controlled.",Highly expressive of emotionalism; the affect dominates the turn.,emotionalism
