facet_id,name,raw_name
risktaking,Risktaking,Risktaking
naivety,Naivety,Naivety
acidity,Acidity,Acidity
democratic-leadership,Democratic Leadership,Democratic Leadership:
common-sense,Common-sense,Common-sense
hesitation,Hesitation,Hesitation
discontentment,Discontentment,Discontentment
overprotectiveness,Overprotectiveness,Overprotectiveness
merriness,Merriness,Merriness
emotionalism,Emotionalism,Emotionalism
self-improvement,Self-improvement,Self-improvement
statistical-reasoning,Statistical Reasoning,Statistical Reasoning
assertiveness-and-control-in-relationships,Assertiveness and control in relationships,Assertiveness and control in relationships
cunningness,Cunningness,Cunningness
adventure-seeking-behavior,Adventure-Seeking Behavior,Adventure-Seeking Behavior
compassion-fatigue,Compassion Fatigue,Compassion Fatigue
moroseness,Moroseness,Moroseness
specialist,Specialist,Specialist
aloofness,Aloofness,Aloofness
genuine,Genuine,Genuine
determinedness,Determinedness,Determinedness
honesty-humility,Honesty Humility,HonestyHumility:
relationship-building-themes,Relationship Building Themes,Relationship Building Themes:
pure-challenge,Pure Challenge,Pure Challenge
numerical-reasoning-subcomponents,Numerical Reasoning Subcomponents,Numerical Reasoning Subcomponents:
openness,Openness,Openness
self-esteem,Self Esteem,SelfEsteem
comparing-alphanumeric-data,Comparing alphanumeric data,Comparing alphanumeric data
big-heartedness,Big-heartedness,Big-heartedness
compulsive-activities,Compulsive activities,Compulsive activities
disrespect,Disrespect,Disrespect
fsh-level,FSH level,FSH level
self-perspective,Self Perspective,Self Perspective
desperation,Desperation,Desperation
affiliation-motivation,Affiliation Motivation,Affiliation Motivation:
anatomy-knowledge,Anatomy knowledge,Anatomy knowledge
passive-aggressive,Passive-Aggressive,Passive-Aggressive
presence-of-spiritual-pain,Presence of Spiritual Pain,Presence of Spiritual Pain
role-of-spirituality-in-community-involvement,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement
structure,Structure,Structure
eco-tourism-trips,Eco-tourism trips,Eco-tourism trips
chivalrousness,Chivalrousness,Chivalrousness
pilgrimage-participation-count,Pilgrimage participation count,Pilgrimage participation count
mindfulness-facet-observing,Mindfulness facet: Observing,Mindfulness facet: Observing
submissiveness,Submissiveness,Submissiveness
training-cycle-length,Training-cycle length,Training-cycle length
sensitiveness,Sensitiveness,Sensitiveness
negative-affect-frequency,Negative Affect Frequency,Negative Affect Frequency
innovation-and-creativity-components,Innovation and Creativity Components,Innovation and Creativity Components:
achievement-motivation,Achievement Motivation,Achievement Motivation:
